,Expected Return,Portfolio Variance,Portfolio Std,Sharpe Ratio,SPY,VTWO,IJH,VEU,VWO,VT,AGG
3942,0.09654171426269242,0.03977444860626249,0.19943532436923628,0.3837921617184648,0.05411683650955426,0.17932176121816212,0.26545418672630827,0.13856759998997242,0.20943212096337394,0.1338130507286163,0.01929444386401281
4538,0.08408067115447936,0.027882159171356318,0.16697951722099424,0.38376366287890146,0.07000795894976611,0.2141801731224898,0.06877836710775284,0.21315248787138605,0.22118251402373937,0.03389679018493603,0.1788017087399298
4380,0.08214013907574452,0.026219448156656524,0.16192420497460078,0.3837606557061172,0.3091725957644616,0.18578375127240568,0.04662874739008447,0.14142818361094325,0.12880385388785656,0.034095728705603526,0.15408713936864485
7037,0.0920577956458197,0.03525882688564491,0.18777333912364905,0.3837488111044855,0.2967283260045203,0.11413821214879306,0.25877528083884976,0.030610897957883146,0.02813644691299268,0.25108671695132445,0.020524119185636507
1243,0.09457152844228554,0.03776330770112033,0.19432783563123512,0.38374084803679737,0.18270783736661458,0.17518435304278995,0.22347458886774244,0.11384860219894019,0.20941631739902408,0.06712757163708324,0.028240729487805507
1063,0.08617819593678543,0.02974105586342115,0.17245595340092248,0.3837397006697446,0.2097005710601154,0.16869845245538456,0.116356361105162,0.1314637054615275,0.20974400416052014,0.026686805665373646,0.13735010009191692
6712,0.080925728591804,0.02521267974105036,0.15878501107173296,0.38369949518900176,0.2509795480422952,0.10376099396662805,0.1257693442153858,0.08295341485285652,0.1008998041784711,0.14666744221628983,0.18896945252807343
6719,0.08142647980907719,0.02562885041239315,0.1600901321518386,0.3836993510056998,0.08446363821763121,0.18470945599174385,0.10264225193793997,0.22173906259220352,0.17615184695997893,0.02428321110853195,0.2060105331919707
7548,0.08972179092020564,0.03302020222526717,0.18171461753328258,0.38368840034256185,0.2560645907550851,0.16987538621214346,0.081227200267997,0.04865201266155701,0.17275670420246497,0.1979556258141139,0.07346848008663867
628,0.07704429468541955,0.022106162110563474,0.148681411449325,0.38366796581603557,0.3233746296435078,0.12611298296769555,0.14282853800939546,0.1671314780610848,0.016027028949670803,0.016323112631517908,0.20820222973712776
2283,0.09407139604380765,0.037273210848548254,0.19306271221690702,0.38366495110971005,0.15586961635535276,0.21728322786134208,0.18065170152355198,0.16338628853654044,0.23271411407907042,0.0143120067352402,0.035783044908902
3170,0.07806129913050243,0.02290201557154675,0.1513341189935262,0.38366298040818003,0.049314833710717265,0.068267496263278,0.22860401404700173,0.1584671386735913,0.0705287789600429,0.16920267883096138,0.2556150595144074
1413,0.09187690264197294,0.035100873560372114,0.18735227129760695,0.38364575003095264,0.21621594134537392,0.1511867136554631,0.10847247419246038,0.020765330556054232,0.2576039908878129,0.16938129521399808,0.0763742541488373
4693,0.09099393838173087,0.034243935422631065,0.18505116974132063,0.3836449047091779,0.12200275340959581,0.183106644715011,0.09632826172390482,0.08400576603860734,0.21084283366528792,0.22289933265965564,0.08081440778793754
6517,0.08340503744174951,0.027315700110801734,0.1652746202863638,0.38363444630452326,0.1812903017223206,0.20190529585048825,0.12019085376070195,0.21688316345537398,0.06933713455787363,0.07477517605277265,0.13561807460046887
6659,0.08199712129544706,0.026116309068632906,0.1616054116316434,0.3836327055480091,0.09864486697704475,0.19672297177779755,0.09295873968432947,0.21701268752027478,0.0786063143640805,0.14861842818697985,0.16743599148949317
4786,0.08516759343553063,0.028856918866017992,0.16987324352592434,0.3836248256811874,0.14349383576151983,0.1097385562033815,0.20303375900239115,0.11240039666445059,0.1400312261142415,0.13656220343345585,0.15474002282055965
8831,0.08024703893593758,0.024665334136338913,0.157052010927396,0.38361201859293187,0.09704469444985157,0.07207581468402904,0.053459246864264315,0.006179175830052494,0.26265547441240744,0.23740667830670387,0.27117891545269135
9229,0.07866553229084992,0.02338804194513635,0.1529314942879208,0.3836066113393334,0.14707333534771674,0.2115437063670655,0.006323279259450034,0.21919466855054853,0.1258444470724397,0.07555559369741066,0.21446496970536905
4910,0.09257917042127192,0.03579818705044162,0.18920408835551525,0.383602548190689,0.1594577651362512,0.251607710909727,0.02425354104102196,0.12124598836008052,0.2522355281651735,0.13969114611917616,0.051508320268569746
4934,0.09253624441124729,0.03575665716084698,0.1890943075844616,0.383598244377864,0.1577429636896724,0.2122573659639232,0.1697234597805866,0.1576861400284622,0.13312776390768213,0.1387859782702826,0.03067632835939101
6940,0.08456384986538062,0.028329716282641953,0.16831433772154394,0.38359090936265827,0.016965641794693703,0.21168521890488684,0.06200232064353423,0.2004467573388119,0.1722417855768215,0.17174915184615394,0.1649091238950979
6485,0.08306136459180308,0.027029294431329957,0.16440588320169677,0.3835712163319484,0.04350890750697929,0.11155588048550476,0.16023662531190436,0.1261692526536499,0.21840957427060423,0.1225103132374083,0.21760944653394929
8748,0.09067978925645709,0.03395748213302008,0.1842755603248029,0.3835548736461707,0.25761879135438226,0.10720508723018146,0.20709716057616728,0.01249233400694774,0.08092859967909409,0.28002473419029617,0.05463329296293096
8420,0.09204296607640032,0.035282352727130636,0.1878359729315198,0.383541900691543,0.0889492726294349,0.24604055022115062,0.1852364382186388,0.2316085580346188,0.06456009034687334,0.16003631844277663,0.023568772106506906
